zCMB MU MUERR_FINAL
0.27001 40.61700 0.12400
1.08142 44.37230 0.20310
0.62703 42.87290 0.14880
0.49611 42.02430 0.14420
0.69085 43.34200 0.12490
0.43967 41.94790 0.15800
0.69530 43.22890 0.14320
0.66881 43.15190 0.14910
0.23332 40.44260 0.11900
0.32250 41.22430 0.10470
0.29471 40.88650 0.16540
0.66375 42.90570 0.12820
0.43313 41.94360 0.17670
0.67923 42.77510 0.13180
0.45919 42.59670 266.67610
0.75147 43.43740 0.16350
0.63094 42.87710 0.19910
0.61533 42.81080 0.14540
0.67765 43.05220 0.22660
0.44183 41.60070 0.15870
0.34291 41.00080 0.24860
0.69066 43.45080 0.16500
0.55910 42.45020 0.14240
0.64039 43.16220 0.17060
0.42420 41.73660 0.16030
0.47100 42.03990 0.14570
0.68136 42.89730 0.16350
0.71912 43.21370 0.22490
1.04436 43.97100 0.19490
0.52327 42.72730 0.32010
0.50043 42.55170 0.25100
0.40696 42.21510 0.25930
0.42450 41.85180 0.18650
0.72292 43.31100 0.14360
0.66121 43.42330 0.19180
0.28578 40.62670 0.21300
0.53696 42.52370 0.15900
0.33754 41.38660 0.20550
0.63498 42.88030 0.15620
0.21792 40.09340 0.09940
0.69071 43.11140 0.14820
0.70130 43.21100 0.14460
0.28834 40.85870 0.10380
0.43619 41.85520 0.15470
0.45696 42.02770 0.13860
0.43365 41.79520 0.11090
0.32707 40.97490 0.16050
0.58141 42.65040 0.16240
0.70426 43.18060 0.16290
0.78665 43.22960 0.24600
0.35159 41.29900 0.19980
0.57450 42.78420 0.25820
0.65988 43.01600 0.17060
0.52053 42.24890 0.15380
0.33662 41.13760 0.14750
0.58357 42.68840 0.13990
0.22714 40.12790 0.15720
0.20823 39.98760 0.10930
0.22806 40.23610 0.15160
0.41257 41.75790 0.22890
0.61273 42.79280 0.13220
0.37813 41.31320 0.20440
0.69525 43.26160 0.19450
0.55218 42.67470 0.16800
0.62910 42.85090 0.21300
0.56699 42.93480 0.23560
0.39365 42.22430 0.26030
0.73781 43.09300 0.16150
0.35948 41.40370 0.10790
0.81174 43.59300 0.20570
0.14740 38.99130 0.12980
0.60984 42.58010 0.18860
0.32909 41.10550 0.13430
0.77627 43.84060 0.29780
0.61601 42.79210 0.19640
0.36115 41.49810 0.19160
0.43848 41.95240 0.14380
0.69304 43.01760 0.11190
0.55343 42.18250 0.20620
0.15459 39.20460 0.17240
0.23710 40.32450 0.12950
0.74393 43.24830 0.18610
0.64429 43.21080 0.19270
0.43160 41.97560 0.12980
0.10442 38.34530 0.15200
0.14136 39.35140 0.17000
0.46775 42.26880 0.13250
0.39436 41.57760 0.17040
0.86917 43.75840 0.31690
0.48068 42.19790 0.23020
0.37298 41.45630 0.11970
0.78604 43.62080 0.14550
0.36002 41.55770 0.14780
0.40626 41.72850 0.18380
0.39764 41.42360 0.20000
0.36604 41.19410 0.17430
0.42354 42.26220 4.80490
0.34451 41.51030 0.20280
0.49338 42.29670 0.17020
0.65992 43.00520 0.15230
0.66811 42.94690 0.14350
0.33402 41.32910 0.20640
0.23482 40.25670 0.12330
0.37176 41.39060 0.14390
0.59552 42.66760 0.14880
0.67756 42.98380 0.13200
0.24171 40.41400 0.11930
0.65980 43.19040 0.18420
0.30880 41.10810 0.11500
0.48970 42.19420 0.13940
0.26767 42.36240 205.25190
0.72860 43.14410 0.18000
0.56341 42.49010 0.20990
0.69164 43.19580 0.18390
0.68141 43.00930 0.18810
0.52685 42.40460 0.20000
0.57508 42.46790 0.18530
0.40109 42.41680 232.06440
0.57892 42.63790 0.15630
0.78842 43.39690 0.14090
0.33683 41.23720 0.11980
0.26996 40.46370 0.14770
0.51339 42.24130 0.19340
0.60874 42.90520 0.19880
0.30244 41.10010 0.12130
0.62684 42.76910 0.18180
0.43510 42.12300 0.13520
0.58936 42.37080 0.14430
0.33121 41.34610 0.13100
0.31048 41.10680 0.15120
0.31270 42.26790 200.59700
0.25833 40.44890 0.17420
0.55467 42.32870 0.18520
0.17715 40.64020 149.87450
0.37043 41.31070 0.14820
0.52612 42.27830 0.23730
0.33759 41.39840 0.12570
0.65831 43.14070 0.26810
0.54327 42.43900 0.22070
0.84634 43.89560 0.25790
0.33485 41.41240 0.19600
0.34417 41.33030 0.11680
0.50491 42.39990 0.18390
0.37044 41.56220 0.14880
0.77137 43.27300 0.17660
0.53290 42.83420 241.05190
0.31079 41.72320 193.67430
0.70325 43.61390 226.70030
0.21062 39.97680 0.15390
0.58899 42.99540 0.22610
0.54154 42.53010 0.19400
0.52973 42.28370 0.24560
0.35299 41.38820 0.13630
0.38185 41.60900 0.15250
0.54183 42.44550 0.14720
0.35723 41.29330 0.18290
0.79810 43.57350 0.25850
0.56950 43.61770 238.57060
0.67382 43.26790 0.17970
0.55797 42.68880 0.18160
0.20699 40.01260 0.15720
0.35071 41.27020 0.16550
0.56864 42.40810 0.18280
0.57472 42.70670 0.20660
0.44153 41.79060 0.12800
0.67651 42.83580 0.16600
0.34478 41.24780 0.10430
0.61101 42.90890 0.15980
0.40360 41.73020 0.16180
0.48607 42.11570 0.24110
0.52558 42.44180 0.15180
0.10563 38.56160 0.08990
0.57914 42.68750 0.21970
0.76302 43.33910 0.18930
0.77650 43.29240 0.11950
0.33633 41.12450 0.23350
0.36444 41.56800 0.13280
0.68131 43.26300 0.20020
0.63391 42.66840 0.14770
0.27051 40.91390 0.11170
0.36705 41.50610 0.12130
0.56429 42.68500 0.14520
0.45085 42.04060 0.17750
0.71827 43.27380 0.12790
0.22156 40.30270 0.11430
0.39189 41.95180 0.26370
0.54993 42.64960 0.20610
0.40572 41.77980 0.21430
0.72076 43.24670 0.16230
0.36025 42.05300 0.28590
0.65395 43.19580 0.14240
0.58627 42.65620 0.21410
0.35667 41.35650 0.13100
0.61883 42.90170 0.23060
0.78398 43.21350 0.18850
0.61496 42.81690 0.23590
0.55939 43.48410 186.90780
0.71961 43.27350 0.21100
0.61156 43.00320 0.21970
0.51197 42.52440 0.19690
0.51856 42.56090 0.17880
0.62320 42.61450 0.15430
0.48766 42.37080 0.20460
0.79167 43.33410 0.12190
0.69371 43.26000 0.16370
0.42224 42.13690 0.20720
0.34305 41.36910 0.25120
0.67984 43.16990 0.18140
0.34180 41.15740 0.14930
0.43774 41.97060 0.21140
0.69396 42.87840 0.14590
0.36460 41.21700 0.16470
0.69209 43.05320 0.21000
0.68179 43.22650 0.17810
0.58893 42.57250 0.28970
0.65927 42.88840 0.13910
0.13349 39.00860 0.17360
0.26629 40.57910 0.10940
0.62076 42.94720 0.20240
0.68005 42.79980 0.13140
0.58586 42.72040 0.21770
0.45463 41.88870 0.16040
0.80326 43.28240 0.13200
0.35791 41.41810 0.16380
0.51686 42.22310 0.20680
0.82736 43.37610 0.21580
0.28895 40.73720 0.11420
0.43941 42.78930 293.06210
0.19624 39.94420 0.17940
0.28805 40.78600 0.11950
0.24701 40.27720 0.10330
0.74333 43.43200 0.13370
0.30259 41.98730 8.39620
0.65904 42.93420 0.15200
0.64922 42.85510 0.14350
0.52809 42.53130 0.31960
0.62737 43.01620 0.27150
0.72701 43.47340 0.20350
0.33403 41.52220 0.16100
0.19991 39.79930 0.18760
0.60582 42.60280 0.15270
0.42692 41.91100 0.12210
0.50597 42.24420 0.10760
0.60619 42.81170 0.15340
0.60557 42.88240 0.21170
0.52427 42.28460 0.10610
0.60735 42.67460 0.14770
0.30477 41.12230 0.16940
0.44933 42.33700 0.20820
0.62253 42.72870 0.20640
0.57869 42.57790 0.18440
0.39932 41.73290 0.22790
0.39496 40.93590 0.21460
0.43764 41.61180 0.14560
0.34175 41.26350 0.23090
0.34810 41.70490 0.24340
0.56493 42.89870 0.25980
0.42821 42.27710 0.26630
0.58306 42.73750 0.18590
0.18492 39.86870 0.10150
